Key,comment,ja-jp,en-us
Plugin_Name,name,サンドシミュレーション,Sand Simulation
Group_Basic,group,基本,Basic
Group_Material,group,素材,Material
Group_Simulation,group,シミュレーション,Simulation
Group_SolidPhysics,group,固体物理,Solid Physics
Group_Explosion,group,爆発,Explosion
Group_Lighting,group,照明,Lighting
Group_Extraction,group,抽出,Extraction
ScreenSize_Name,name,画面サイズ,Screen Size
ScreenSize_Desc,desc,画面サイズに合わせてシミュレーションします。,Runs the simulation at the screen size.
SourceMode_Name,name,入力モード,Input Mode
SourceMode_Desc,desc,初期フレームのみ素材化、空きセルへの継続追加、選択位置への毎フレーム再配置を選びます。XPBD固定素材は1入力セル1スロットのため、継続追加では同じ入力セルから重複生成しません。,"Selects initial-frame capture, continuous filling of empty cells, or restamping selected positions every frame. XPBD solids use one slot per input cell and are not duplicated by continuous input."
ParticleSize_Name,name,粒サイズ,Particle Size
ParticleSize_Desc,desc,1セルが表すピクセル数を指定します。値が大きいほど高速になり、GPUメモリも節約できます。4 pxを推奨します。1080p/1 pxではCAのみ約32 MiB、XPBD・爆発・照明有効時は約166 MiBです。状態予算は約304 MiBで、有効な機能に応じて使用可能なセル数を調整します。,"Sets the pixels represented by one cell. Larger values are faster and use less GPU memory. 4 px is recommended. At 1080p/1 px, CA uses about 32 MiB and all features use about 166 MiB. The state budget is about 304 MiB."
MaterialAssignment_Name,name,素材割り当て,Material Assignment
MaterialAssignment_Desc,desc,入力色を55色に分類し、各色に対応する物理素材に変換するか、すべてを単一素材に変換します。,"Classifies the source into 55 colors mapped one-to-one to physical materials, or converts it to one material."
SingleMaterial_Name,name,単一素材,Single Material
SingleMaterial_Desc,desc,「単一素材」を選んだ場合に使用する素材です。,Selects the material used by Single Material assignment.
ColorMode_Name,name,表示色,Display Color
ColorMode_Desc,desc,入力画像の色を保持するか、分類した素材の色で表示します。,Displays either the original source colors or the classified material palette.
Iterations_Name,name,更新回数,Update Count
Iterations_Desc,desc,1フレームあたりの更新回数を指定します。増やすほどシミュレーションが速く進み、GPU負荷も増えます。,Sets simulation updates per frame. Higher values advance faster and increase GPU load.
Warmup_Name,name,初期更新回数,Initial Update Count
Warmup_Desc,desc,初期化直後に追加で進める更新回数を指定します。増やすほど最初のフレームのGPU負荷が増えます。,Sets additional updates immediately after initialization. Higher values increase first-frame GPU load.
Spread_Name,name,流動性,Fluidity
Spread_Desc,desc,粉体の斜め移動と液体・気体の横方向への広がりやすさです。,Controls diagonal powder movement and horizontal spreading of liquids and gases.
ReactionStrength_Name,name,反応の強さ,Reaction Strength
ReactionStrength_Desc,desc,燃焼、蒸発、溶解、腐食、発煙などの反応の強さを指定します。100%が標準、0%で素材間の反応を停止します。,"Sets combustion, evaporation, dissolution, corrosion, smoke and other reactions. 100% is standard; 0% stops material reactions."
SolidMode_Name,name,方式,Method
SolidMode_Desc,desc,固定素材をGPU XPBD格子に移し、素材ごとの質量・剛性・破断特性を使って落下・変形・衝突させます。,Moves fixed materials to a GPU XPBD grid for material-specific mass, stiffness, fracture, falling, deformation and collision.
Gravity_Name,name,重力,Gravity
